comment,sentiment
The product quality is amazing and I'm very satisfied!,Positive
Customer service was slow and unhelpful.,Negative
"Delivery was on time, nothing special.",Neutral
The app keeps crashing and it's frustrating.,**Negative**
Great prices and very fast shipping.,Positive
Support team resolved my issue quickly.,Positive
Packaging was damaged but item works fine.,Neutral
"I love this brand, will buy again!",Positive
Website is confusing to use.,Negative
It works as expected.,Positive
